Metric,Value
Precision,0.6945268450389671
Recall,0.6597738430901422
F1-score,0.6767044419261318
mAP@0.50,0.6993431383844059
mAP@0.75,0.2912393937503834
mAP@0.50:0.95,0.35169928920212123
Mean IoU (matched TP),0.7470789195737427
Median IoU (matched TP),0.7548730125938447
Custom Precision @ IoU 0.50,0.679571663920922
Custom Recall @ IoU 0.50,0.6179775280898873
Custom F1 @ IoU 0.50,0.6473126716354363
