class_id,class_name,tp,fp,fn,precision,recall,f1,mean_iou_tp,median_iou_tp
0,anthracnose,227,64,193,0.780068728522334,0.5404761904761891,0.6385372714481785,0.7269926952101221,0.7290956199674363
1,leaf_miner,69,31,22,0.6899999999999932,0.75824175824175,0.7225130890047292,0.8135490039984928,0.8630375115030111
2,red_rust,529,294,295,0.6427703523693795,0.6419902912621351,0.642380085002535,0.7470281390543365,0.7608865987691069
