Metric,Value
Precision,0.3110559017479793
Recall,0.42948717948717946
F1-score,0.3608014855302595
mAP@0.50,0.35222384541834706
mAP@0.75,0.2544387208533733
mAP@0.50:0.95,0.21482967019984028
Mean IoU (matched TP),0.8163485734940198
Median IoU (matched TP),0.8288197502405201
Custom Precision @ IoU 0.50,0.2745098039215632
Custom Recall @ IoU 0.50,0.2641509433962214
Custom F1 @ IoU 0.50,0.2692307692302642
