seed,actual_epochs,best_epoch,best_val_loss_history,best_val_accuracy_history,checkpoint_val_loss,checkpoint_val_accuracy,checkpoint_val_macro_f1,checkpoint_val_balanced_accuracy,training_time_seconds,total_parameters,trainable_parameters,non_trainable_parameters,best_weights_path,best_weights_size_mb
42,27,19,0.4511948823928833,0.8709002137184143,0.4517633020877838,0.8729937194696441,0.8708172560528828,0.8670380705576942,1718.9802656173706,24641413,24587269,54144,/kaggle/working/EXP-RESNET50-SCRATCH-5SEEDS-002/seed_42/checkpoints/RESNET50_SCRATCH_seed_42_best.weights.h5,282.2274932861328
123,20,12,0.4516007900238037,0.8632240295410156,0.4506297707557678,0.8639218422889045,0.8631377361322533,0.8633805210312865,1281.3175210952759,24641413,24587269,54144,/kaggle/working/EXP-RESNET50-SCRATCH-5SEEDS-002/seed_123/checkpoints/RESNET50_SCRATCH_seed_123_best.weights.h5,282.2274932861328
2026,29,21,0.44505080580711365,0.8709002137184143,0.44703757762908936,0.8715980460572226,0.8686463031391518,0.8649002224018891,1844.8619294166565,24641413,24587269,54144,/kaggle/working/EXP-RESNET50-SCRATCH-5SEEDS-002/seed_2026/checkpoints/RESNET50_SCRATCH_seed_2026_best.weights.h5,282.2274932861328
3407,31,23,0.4226744771003723,0.8736915588378906,0.42355528473854065,0.8729937194696441,0.8706944412416796,0.8729740464354631,1973.9491670131683,24641413,24587269,54144,/kaggle/working/EXP-RESNET50-SCRATCH-5SEEDS-002/seed_3407/checkpoints/RESNET50_SCRATCH_seed_3407_best.weights.h5,282.2274932861328
7777,23,15,0.45179224014282227,0.8513607978820801,0.4471319317817688,0.8562456385205862,0.8561250186931477,0.8618370065814533,1480.3894267082214,24641413,24587269,54144,/kaggle/working/EXP-RESNET50-SCRATCH-5SEEDS-002/seed_7777/checkpoints/RESNET50_SCRATCH_seed_7777_best.weights.h5,282.2274932861328
