epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,32.8847,2.37108,3.09596,0.0038,0.50096,0.18529,0.25402,0.10553,2.24658,3.59219,0.00527,0.00032716,0.00032716,0.0676111
2,42.9674,2.23421,2.09117,0.00359,0.5714,0.53311,0.54262,0.23837,1.95201,2.12015,0.00389,0.000647416,0.000647416,0.034598
3,53.0745,2.13958,1.79252,0.00327,0.59896,0.57738,0.58064,0.26763,2.0156,1.78251,0.00426,0.000954472,0.000954472,0.00157176
4,63.1758,2.07047,1.79608,0.00336,0.45318,0.49143,0.43012,0.1964,1.96894,2.44436,0.00415,0.0009406,0.0009406,0.0009406
5,73.1888,2.0561,1.73277,0.00325,0.56314,0.60273,0.5642,0.27054,1.91317,1.71588,0.00373,0.0009208,0.0009208,0.0009208
6,83.5358,2.02845,1.64762,0.00316,0.52644,0.6169,0.59531,0.28032,1.93754,1.64221,0.00381,0.000901,0.000901,0.000901
7,93.7535,2.03827,1.66904,0.00334,0.53966,0.61058,0.59028,0.26614,2.02031,1.65428,0.00394,0.0008812,0.0008812,0.0008812
8,103.768,2.01986,1.58134,0.0032,0.59153,0.59239,0.60752,0.30805,1.8839,1.54068,0.00375,0.0008614,0.0008614,0.0008614
9,113.974,1.98699,1.54831,0.0033,0.56945,0.58092,0.59957,0.27943,1.92043,1.61225,0.00383,0.0008416,0.0008416,0.0008416
10,124.07,1.98896,1.53909,0.00313,0.58572,0.59326,0.61145,0.28435,1.9691,1.61859,0.00411,0.0008218,0.0008218,0.0008218
11,134.317,1.98407,1.52045,0.00305,0.61193,0.66294,0.63841,0.31987,1.84482,1.53701,0.00378,0.000802,0.000802,0.000802
12,144.804,2.02692,1.61289,0.00312,0.64477,0.59349,0.64176,0.32018,1.88868,1.55137,0.00384,0.0007822,0.0007822,0.0007822
13,155.088,1.97308,1.54174,0.0032,0.61302,0.62663,0.63837,0.32589,1.92795,1.5902,0.00376,0.0007624,0.0007624,0.0007624
14,165.479,1.98558,1.49856,0.00305,0.64394,0.69567,0.70624,0.36168,1.89366,1.36847,0.00361,0.0007426,0.0007426,0.0007426
15,175.746,1.96541,1.45748,0.00303,0.66032,0.60532,0.63225,0.31783,1.93927,1.45896,0.00373,0.0007228,0.0007228,0.0007228
16,185.918,1.95825,1.43094,0.00312,0.64485,0.66059,0.67821,0.34985,1.82787,1.50547,0.00349,0.000703,0.000703,0.000703
17,196.106,1.93378,1.41293,0.00294,0.62674,0.62675,0.63198,0.32699,1.87157,1.46479,0.00361,0.0006832,0.0006832,0.0006832
18,206.29,1.94164,1.39051,0.0029,0.68339,0.62164,0.66971,0.34532,1.83196,1.43239,0.00354,0.0006634,0.0006634,0.0006634
19,216.429,1.9385,1.38751,0.00292,0.66062,0.65519,0.67618,0.34766,1.80224,1.4073,0.00344,0.0006436,0.0006436,0.0006436
20,226.567,1.93728,1.38819,0.00312,0.61024,0.62527,0.63828,0.33677,1.81613,1.47123,0.00352,0.0006238,0.0006238,0.0006238
21,236.955,1.93823,1.38321,0.00291,0.63351,0.64345,0.66235,0.3392,1.86673,1.47443,0.00357,0.000604,0.000604,0.000604
22,247.113,1.89857,1.36277,0.00297,0.67251,0.64299,0.6704,0.36035,1.82888,1.48982,0.00353,0.0005842,0.0005842,0.0005842
23,257.336,1.90236,1.34099,0.0029,0.66365,0.61213,0.63734,0.33815,1.82129,1.43217,0.00354,0.0005644,0.0005644,0.0005644
24,267.574,1.91655,1.32016,0.0028,0.65071,0.63917,0.67304,0.35999,1.7772,1.45099,0.00343,0.0005446,0.0005446,0.0005446
25,277.83,1.90911,1.3396,0.00282,0.68093,0.65167,0.67249,0.34001,1.81892,1.40549,0.00349,0.0005248,0.0005248,0.0005248
26,287.94,1.91124,1.32783,0.00287,0.66767,0.63754,0.66282,0.34384,1.80788,1.47579,0.00353,0.000505,0.000505,0.000505
27,298.139,1.87081,1.31163,0.00279,0.63878,0.63881,0.64143,0.33365,1.835,1.46253,0.00357,0.0004852,0.0004852,0.0004852
28,308.196,1.87419,1.30767,0.00288,0.65298,0.67355,0.66865,0.36308,1.77883,1.37501,0.00337,0.0004654,0.0004654,0.0004654
29,318.501,1.86194,1.26241,0.00276,0.6284,0.64278,0.66547,0.3383,1.86211,1.48774,0.00353,0.0004456,0.0004456,0.0004456
30,328.874,1.84613,1.26004,0.00273,0.63883,0.66214,0.67586,0.36999,1.76851,1.41978,0.00349,0.0004258,0.0004258,0.0004258
31,339.094,1.87275,1.27054,0.00267,0.63748,0.66238,0.67433,0.35917,1.81088,1.44806,0.00362,0.000406,0.000406,0.000406
32,349.347,1.90892,1.27106,0.00265,0.69201,0.63336,0.67236,0.35621,1.82113,1.43136,0.00342,0.0003862,0.0003862,0.0003862
33,359.553,1.85841,1.24427,0.00265,0.64198,0.6462,0.65757,0.35344,1.74834,1.44525,0.00343,0.0003664,0.0003664,0.0003664
34,369.752,1.86571,1.25551,0.00269,0.65488,0.68498,0.68172,0.36505,1.78755,1.36939,0.00349,0.0003466,0.0003466,0.0003466
35,379.883,1.86002,1.31199,0.00283,0.6654,0.68232,0.69039,0.36878,1.74872,1.34482,0.00345,0.0003268,0.0003268,0.0003268
36,390.159,1.85462,1.24551,0.00266,0.65312,0.66724,0.65761,0.34295,1.80561,1.43819,0.0035,0.000307,0.000307,0.000307
37,400.399,1.84528,1.25235,0.00272,0.66906,0.669,0.67824,0.36882,1.73301,1.40598,0.00325,0.0002872,0.0002872,0.0002872
38,410.608,1.85424,1.26222,0.00264,0.65484,0.64839,0.66066,0.35286,1.77307,1.44203,0.00347,0.0002674,0.0002674,0.0002674
39,420.806,1.83375,1.21686,0.00272,0.68456,0.64977,0.664,0.3488,1.77929,1.44096,0.00341,0.0002476,0.0002476,0.0002476
40,430.775,1.83053,1.21558,0.00275,0.68559,0.63476,0.66649,0.3562,1.81928,1.43312,0.00347,0.0002278,0.0002278,0.0002278
41,441.71,1.79054,1.15002,0.00272,0.70596,0.6545,0.68645,0.37485,1.7631,1.36885,0.00338,0.000208,0.000208,0.000208
42,451.8,1.79706,1.15117,0.00272,0.69457,0.65593,0.68705,0.37738,1.7358,1.3643,0.00339,0.0001882,0.0001882,0.0001882
43,461.819,1.79057,1.1414,0.00273,0.67721,0.65749,0.67723,0.36175,1.79231,1.40932,0.00343,0.0001684,0.0001684,0.0001684
44,471.759,1.77547,1.12257,0.00269,0.66278,0.6672,0.67248,0.3627,1.76474,1.40973,0.00341,0.0001486,0.0001486,0.0001486
45,481.869,1.77214,1.10792,0.00258,0.66102,0.66161,0.67565,0.3663,1.73477,1.39121,0.0034,0.0001288,0.0001288,0.0001288
46,491.865,1.76811,1.12681,0.00271,0.65708,0.66697,0.67165,0.3597,1.7608,1.40209,0.00342,0.000109,0.000109,0.000109
47,502.001,1.74636,1.11427,0.00261,0.6814,0.65082,0.67165,0.35674,1.76906,1.41718,0.00334,8.92e-05,8.92e-05,8.92e-05
48,512.161,1.74959,1.11871,0.0027,0.66606,0.68035,0.67475,0.36132,1.75213,1.41316,0.00329,6.94e-05,6.94e-05,6.94e-05
49,522.244,1.75424,1.11364,0.00268,0.64942,0.69557,0.67337,0.36227,1.75112,1.41102,0.00327,4.96e-05,4.96e-05,4.96e-05
50,532.389,1.75962,1.11431,0.00264,0.65906,0.67866,0.67126,0.36092,1.74512,1.40849,0.00329,2.98e-05,2.98e-05,2.98e-05
