,anthracnose,healthy,leaf_miner,not_cashew_leaf,red_rust
anthracnose,248,18,5,6,36
healthy,23,187,6,2,7
leaf_miner,39,1,204,9,9
not_cashew_leaf,11,2,1,293,7
red_rust,0,0,0,0,319
