,precision,recall,f1-score,support
anthracnose,0.7725856697819314,0.792332268370607,0.7823343848580442,313.0
healthy,0.8990384615384616,0.8311111111111111,0.8637413394919169,225.0
leaf_miner,0.9444444444444444,0.7786259541984732,0.8535564853556485,262.0
not_cashew_leaf,0.9451612903225807,0.9331210191082803,0.9391025641025641,314.0
red_rust,0.843915343915344,1.0,0.9153515064562411,319.0
accuracy,0.8729937194696441,0.8729937194696441,0.8729937194696441,0.8729937194696441
macro avg,0.8810290420005524,0.8670380705576942,0.8708172560528828,1433.0
weighted avg,0.8775555148657557,0.8729937194696441,0.8721002084418529,1433.0
