epoch,accuracy,loss,val_accuracy,val_loss,learning_rate
1,0.5815915465354919,1.1124067306518555,0.20497311651706696,2.1436574459075928,0.0010000000474974513
2,0.6864812970161438,0.8594010472297668,0.21572580933570862,2.39913010597229,0.0010000000474974513
3,0.7465004920959473,0.6878146529197693,0.6901881694793701,0.9736561179161072,0.0010000000474974513
4,0.7687439918518066,0.6341607570648193,0.45766130089759827,2.1597344875335693,0.0010000000474974513
5,0.7892617583274841,0.5893654823303223,0.6149193644523621,1.2232277393341064,0.0010000000474974513
6,0.8028762936592102,0.5488828420639038,0.7432795763015747,0.714681088924408,0.0010000000474974513
7,0.8341323137283325,0.48471760749816895,0.7694892287254333,0.6554852724075317,0.0010000000474974513
8,0.8498561978340149,0.4443023204803467,0.4630376398563385,2.828636884689331,0.0010000000474974513
9,0.8483221530914307,0.4327174723148346,0.44758063554763794,2.4828028678894043,0.0010000000474974513
10,0.8636625409126282,0.4015786945819855,0.5174731016159058,2.594482183456421,0.0010000000474974513
11,0.8947267532348633,0.30536511540412903,0.8911290168762207,0.34282076358795166,0.0003000000142492354
12,0.9144774675369263,0.25853294134140015,0.9112903475761414,0.2986997365951538,0.0003000000142492354
13,0.9156280159950256,0.24804575741291046,0.8534946441650391,0.438356876373291,0.0003000000142492354
14,0.9165867567062378,0.24527402222156525,0.9139785170555115,0.27948975563049316,0.0003000000142492354
15,0.9263662695884705,0.2253161370754242,0.8918010592460632,0.3547462522983551,0.0003000000142492354
16,0.926174521446228,0.21757543087005615,0.6619623899459839,1.2550488710403442,0.0003000000142492354
17,0.9236816763877869,0.2226499766111374,0.8037634491920471,0.6194217801094055,0.0003000000142492354
18,0.9367210268974304,0.18618401885032654,0.926075279712677,0.2554051876068115,9.000000136438757e-05
19,0.9424736499786377,0.17130064964294434,0.9301075339317322,0.25494441390037537,9.000000136438757e-05
20,0.9509108066558838,0.14908726513385773,0.9287634491920471,0.23621542751789093,9.000000136438757e-05
21,0.9532119035720825,0.14799538254737854,0.9375,0.2225165218114853,9.000000136438757e-05
22,0.9516778588294983,0.1512547880411148,0.9227150678634644,0.2694297730922699,9.000000136438757e-05
23,0.9501438140869141,0.1438751071691513,0.9005376100540161,0.3162258565425873,9.000000136438757e-05
24,0.9580057263374329,0.13223758339881897,0.9247311949729919,0.27037015557289124,9.000000136438757e-05
25,0.9635666608810425,0.11399296671152115,0.9247311949729919,0.2700573205947876,2.700000004551839e-05
26,0.9685522317886353,0.10385452210903168,0.9401881694793701,0.21086856722831726,2.700000004551839e-05
27,0.9693192839622498,0.10276126861572266,0.9415322542190552,0.2266015112400055,2.700000004551839e-05
28,0.9731543660163879,0.09369659423828125,0.9388440847396851,0.21853287518024445,2.700000004551839e-05
29,0.9685522317886353,0.09737470746040344,0.9435483813285828,0.2074297070503235,2.700000004551839e-05
30,0.969894528388977,0.09610507637262344,0.9381720423698425,0.22363117337226868,2.700000004551839e-05
31,0.9737296104431152,0.0843053013086319,0.9422042965888977,0.20730461180210114,2.700000004551839e-05
32,0.972195565700531,0.09118978679180145,0.9469085931777954,0.2078046351671219,2.700000004551839e-05
33,0.9733461141586304,0.08823030441999435,0.9495967626571655,0.21083411574363708,2.700000004551839e-05
34,0.9704697728157043,0.0876457691192627,0.9361559152603149,0.23377402126789093,2.700000004551839e-05
35,0.9720038175582886,0.0857788622379303,0.9482526779174805,0.20198938250541687,8.099999831756577e-06
36,0.9746884107589722,0.07715368270874023,0.948924720287323,0.19569095969200134,8.099999831756577e-06
37,0.9762224555015564,0.07599222660064697,0.9469085931777954,0.20023134350776672,8.099999831756577e-06
38,0.9754554033279419,0.07667712867259979,0.9462365508079529,0.2100200057029724,8.099999831756577e-06
39,0.9783317446708679,0.07363072037696838,0.9455645084381104,0.2061517983675003,8.099999831756577e-06
40,0.9789069890975952,0.0705680325627327,0.9495967626571655,0.2015712857246399,2.429999995001708e-06
41,0.9806327819824219,0.06974524259567261,0.9502688050270081,0.2008078545331955,2.429999995001708e-06
42,0.980249285697937,0.06804099678993225,0.9516128897666931,0.19931568205356598,2.429999995001708e-06
43,0.9790987372398376,0.06838919967412949,0.9475806355476379,0.20122425258159637,9.999999974752427e-07
44,0.9775646924972534,0.07291927933692932,0.9495967626571655,0.19997328519821167,9.999999974752427e-07
