Metric,Value
Precision,0.581095251839932
Recall,0.5099415328112797
F1-score,0.5431981902004716
mAP@0.50,0.5336438475172286
mAP@0.75,0.3134783739268597
mAP@0.50:0.95,0.3072957847765428
Mean IoU (matched TP),0.7622239480120453
Median IoU (matched TP),0.7706636683219489
Custom Precision @ IoU 0.50,0.46794871794871495
Custom Recall @ IoU 0.50,0.3613861386138596
Custom F1 @ IoU 0.50,0.4078212290497853
