,anthracnose,healthy,leaf_miner,not_cashew_leaf,red_rust
anthracnose,226,28,5,14,40
healthy,17,202,2,2,2
leaf_miner,31,1,210,15,5
not_cashew_leaf,10,6,3,294,1
red_rust,12,1,0,0,306
