epoch,accuracy,loss,val_accuracy,val_loss,learning_rate
1,0.5563477873802185,1.191314697265625,0.22260990738868713,6.502619743347168,0.0010000000474974513
2,0.6646860837936401,0.9142522215843201,0.2672714591026306,1.802467703819275,0.0010000000474974513
3,0.6767676472663879,0.8867630362510681,0.34333565831184387,20.940853118896484,0.0010000000474974513
4,0.727668821811676,0.7566207647323608,0.39776691794395447,8.015449523925781,0.0010000000474974513
5,0.7690631747245789,0.6565818786621094,0.41939985752105713,2.5183799266815186,0.0010000000474974513
6,0.812636137008667,0.5241087675094604,0.6845778226852417,0.8331828117370605,0.0003000000142492354
7,0.8354129791259766,0.4635046720504761,0.7110956311225891,0.9229121208190918,0.0003000000142492354
8,0.835809051990509,0.4769194424152374,0.7480809688568115,0.833956778049469,0.0003000000142492354
9,0.8502673506736755,0.411094605922699,0.6399162411689758,1.0765072107315063,0.0003000000142492354
10,0.8819568157196045,0.345771849155426,0.829727828502655,0.5653733015060425,9.000000136438757e-05
11,0.8869082927703857,0.3270239233970642,0.8485694527626038,0.4947383403778076,9.000000136438757e-05
12,0.8960190415382385,0.30925455689430237,0.8632240295410156,0.4516007900238037,9.000000136438757e-05
13,0.895226776599884,0.299277663230896,0.8164689540863037,0.6162521839141846,9.000000136438757e-05
14,0.9092889428138733,0.27018222212791443,0.7501744627952576,0.8608555197715759,9.000000136438757e-05
15,0.9084967374801636,0.26896247267723083,0.7745987176895142,0.7483989596366882,9.000000136438757e-05
16,0.924143373966217,0.2245151847600937,0.8318213820457458,0.598406970500946,2.700000004551839e-05
17,0.9294909834861755,0.2102966159582138,0.8429867625236511,0.5704056024551392,2.700000004551839e-05
18,0.9306793212890625,0.20416025817394257,0.8374040722846985,0.620189368724823,2.700000004551839e-05
19,0.9362249970436096,0.18013396859169006,0.8332170248031616,0.6414846181869507,8.099999831756577e-06
20,0.9413745403289795,0.1735144704580307,0.8555477857589722,0.5629725456237793,8.099999831756577e-06
