,precision,recall,f1-score,support
anthracnose,0.7635135135135135,0.7220447284345048,0.7422003284072249,313.0
healthy,0.8487394957983193,0.8977777777777778,0.8725701943844493,225.0
leaf_miner,0.9545454545454546,0.8015267175572519,0.8713692946058091,262.0
not_cashew_leaf,0.9046153846153846,0.9363057324840764,0.92018779342723,314.0
red_rust,0.864406779661017,0.9592476489028213,0.9093610698365527,319.0
accuracy,0.8639218422889045,0.8639218422889045,0.8639218422889045,0.8639218422889045
macro avg,0.8671641256267378,0.8633805210312865,0.8631377361322533,1433.0
weighted avg,0.8652002922933398,0.8639218422889045,0.8624988835510781,1433.0
