class,dense_f1_mean,dense_f1_std,resnet_f1_mean,resnet_f1_std,vit_f1_mean,vit_f1_std
anthracnose,0.8130449936933477,0.0200396146107196,0.7935130290598961,0.0383990404824948,0.7043378286364862,0.0443908716735154
healthy,0.916842815705902,0.0151455670704394,0.9068857201078172,0.0204975571417796,0.7971663517384786,0.0222049640412587
leaf_miner,0.9128780302145106,0.013713284564094,0.9075154713713884,0.0105763978938037,0.8481255649608649,0.0244591055010418
not_cashew_leaf,0.9601662741958964,0.0135143503589533,0.940646406816552,0.0248294202307289,0.9727882535258766,0.0136585462669764
red_rust,0.9657520512230656,0.0042173054923001,0.9598680177098788,0.0155929947073054,0.8981155877602476,0.0190173947380361
