seed,actual_epochs,best_epoch,best_val_loss_history,best_val_accuracy_history,checkpoint_val_loss,checkpoint_val_accuracy,checkpoint_val_macro_f1,checkpoint_val_balanced_accuracy,training_time_seconds,total_parameters,trainable_parameters,non_trainable_parameters,best_weights_path,best_weights_size_mb
42,32,22,0.581690788269043,0.8018143773078918,0.581690788269043,0.801814375436148,0.7916398721203974,0.7964727580788867,716.024071931839,347717,347717,0,/kaggle/working/EXP-VIT-SCRATCH-5SEEDS-002/seed_42/checkpoints/VIT_SCRATCH_seed_42_best.weights.h5,4.413238525390625
123,34,24,0.5115259885787964,0.838101863861084,0.5115259885787964,0.8381018841591068,0.833504089856914,0.8323373493948185,760.4026505947113,347717,347717,0,/kaggle/working/EXP-VIT-SCRATCH-5SEEDS-002/seed_123/checkpoints/VIT_SCRATCH_seed_123_best.weights.h5,4.413238525390625
2026,26,16,0.7314267158508301,0.7306350469589233,0.7314267158508301,0.7306350314026517,0.7130700038773699,0.7194412171117966,583.0446710586548,347717,347717,0,/kaggle/working/EXP-VIT-SCRATCH-5SEEDS-002/seed_2026/checkpoints/VIT_SCRATCH_seed_2026_best.weights.h5,4.413238525390625
3407,31,21,0.5022081136703491,0.8471737504005432,0.5022081136703491,0.8471737613398465,0.8415560454079548,0.8381232561796708,705.8752315044403,347717,347717,0,/kaggle/working/EXP-VIT-SCRATCH-5SEEDS-002/seed_3407/checkpoints/VIT_SCRATCH_seed_3407_best.weights.h5,4.413238525390625
7777,38,28,0.46050381660461426,0.859734833240509,0.46050381660461426,0.8597348220516399,0.8553981986399155,0.8529176876884688,858.3438444137573,347717,347717,0,/kaggle/working/EXP-VIT-SCRATCH-5SEEDS-002/seed_7777/checkpoints/VIT_SCRATCH_seed_7777_best.weights.h5,4.413238525390625
