,precision,recall,f1-score,support
anthracnose,0.8112582781456954,0.7827476038338658,0.7967479674796748,313.0
healthy,0.9132653061224489,0.7955555555555556,0.850356294536817,225.0
leaf_miner,0.9383259911894273,0.8129770992366412,0.8711656441717791,262.0
not_cashew_leaf,0.8651026392961877,0.9394904458598726,0.9007633587786259,314.0
red_rust,0.8637602179836512,0.9937304075235109,0.924198250728863,319.0
accuracy,0.8715980460572226,0.8715980460572226,0.8715980460572226,0.8715980460572226
macro avg,0.878342486547482,0.8649002224018891,0.8686463031391518,1433.0
weighted avg,0.8739928003521084,0.8715980460572226,0.869934832870847,1433.0
