,anthracnose,healthy,leaf_miner,not_cashew_leaf,red_rust
anthracnose,245,15,5,17,31
healthy,24,179,6,12,4
leaf_miner,24,1,213,17,7
not_cashew_leaf,9,1,1,295,8
red_rust,0,0,2,0,317
