,anthracnose,healthy,leaf_miner,not_cashew_leaf,red_rust
anthracnose,218,65,6,3,21
healthy,8,217,0,0,0
leaf_miner,24,4,224,6,4
not_cashew_leaf,43,9,3,255,4
red_rust,4,2,0,0,313
