,precision,recall,f1-score,support
anthracnose,0.734006734006734,0.6964856230031949,0.7147540983606557,313.0
healthy,0.7306397306397306,0.9644444444444444,0.8314176245210728,225.0
leaf_miner,0.9613733905579399,0.8549618320610687,0.9050505050505051,262.0
not_cashew_leaf,0.9659090909090909,0.8121019108280255,0.8823529411764706,314.0
red_rust,0.9152046783625731,0.9811912225705329,0.9470499243570348,319.0
accuracy,0.8562456385205862,0.8562456385205862,0.8562456385205862,0.8562456385205862
macro avg,0.8614267248952137,0.8618370065814533,0.8561250186931477,1433.0
weighted avg,0.8661993177999601,0.8562456385205862,0.8563000558455441,1433.0
