class_id,class_name,precision,recall,f1,mAP50,mAP50_95
0,anthracnose,0.577794,0.52381,0.549479,0.563808,0.284106
1,leaf_miner,0.446938,0.421053,0.433609,0.406286,0.211047
2,red_rust,0.424269,0.663244,0.5175,0.508467,0.281227
