Metric,Value
Precision,0.48300040549755213
Recall,0.5360355028570742
F1-score,0.5081378646584405
mAP@0.50,0.4928539395211839
mAP@0.75,0.2272458947976159
mAP@0.50:0.95,0.2587932789813577
Mean IoU (matched TP),0.7909992955473966
Median IoU (matched TP),0.8075555169611176
Custom Precision @ IoU 0.50,0.49929278642149855
Custom Recall @ IoU 0.50,0.5252976190476183
Custom F1 @ IoU 0.50,0.5119651921677374
