Metric,Value
Precision,0.7473442583848549
Recall,0.6647722399267243
F1-score,0.703644093439243
mAP@0.50,0.7297647986223849
mAP@0.75,0.35772086026165567
mAP@0.50:0.95,0.3876542073492677
Mean IoU (matched TP),0.7602977955589232
Median IoU (matched TP),0.7719659356442543
Custom Precision @ IoU 0.50,0.6075085324232071
Custom Recall @ IoU 0.50,0.7250509164969435
Custom F1 @ IoU 0.50,0.6610956360255008
