,anthracnose,healthy,leaf_miner,not_cashew_leaf,red_rust
anthracnose,0.8089171974522293,0.044585987261146494,0.07006369426751592,0.025477707006369428,0.050955414012738856
healthy,0.04929577464788732,0.9154929577464789,0.02112676056338028,0.0,0.014084507042253521
leaf_miner,0.043795620437956206,0.029197080291970802,0.9124087591240876,0.0,0.014598540145985401
not_cashew_leaf,0.006329113924050633,0.012658227848101266,0.006329113924050633,0.9746835443037974,0.0
red_rust,0.026143790849673203,0.006535947712418301,0.0196078431372549,0.006535947712418301,0.9411764705882353
