,precision,recall,f1-score,support
anthracnose,0.8758620689655172,0.8089171974522293,0.8410596026490066,157.0
healthy,0.9027777777777778,0.9154929577464789,0.9090909090909091,142.0
leaf_miner,0.8741258741258742,0.9124087591240876,0.8928571428571429,137.0
not_cashew_leaf,0.9685534591194969,0.9746835443037974,0.9716088328075709,158.0
red_rust,0.9230769230769231,0.9411764705882353,0.9320388349514563,153.0
accuracy,0.9103078982597055,0.9103078982597055,0.9103078982597055,0.9103078982597055
macro avg,0.908879220613118,0.9105357858429658,0.9093310644712173,747.0
weighted avg,0.9099360773747324,0.9103078982597055,0.9097387317394924,747.0
