,anthracnose,healthy,leaf_miner,not_cashew_leaf,red_rust
anthracnose,141,4,5,2,5
healthy,4,135,2,0,1
leaf_miner,4,1,129,2,1
not_cashew_leaf,1,0,1,155,1
red_rust,1,0,0,0,152
