,precision,recall,f1-score,support
anthracnose,0.9337748344370861,0.8980891719745223,0.9155844155844156,157.0
healthy,0.9642857142857143,0.9507042253521126,0.9574468085106383,142.0
leaf_miner,0.9416058394160584,0.9416058394160584,0.9416058394160584,137.0
not_cashew_leaf,0.9748427672955975,0.9810126582278481,0.9779179810725552,158.0
red_rust,0.95,0.9934640522875817,0.9712460063897763,153.0
accuracy,0.9531459170013387,0.9531459170013387,0.9531459170013387,0.9531459170013387
macro avg,0.9529018310868912,0.9529751894516245,0.9527602101946888,747.0
weighted avg,0.9530205859008011,0.9531459170013387,0.9528994378077154,747.0
