,anthracnose,healthy,leaf_miner,not_cashew_leaf,red_rust
anthracnose,0.8980891719745223,0.025477707006369428,0.03184713375796178,0.012738853503184714,0.03184713375796178
healthy,0.028169014084507043,0.9507042253521126,0.014084507042253521,0.0,0.007042253521126761
leaf_miner,0.029197080291970802,0.0072992700729927005,0.9416058394160584,0.014598540145985401,0.0072992700729927005
not_cashew_leaf,0.006329113924050633,0.0,0.006329113924050633,0.9810126582278481,0.006329113924050633
red_rust,0.006535947712418301,0.0,0.0,0.0,0.9934640522875817
