,precision,recall,f1-score,support
anthracnose,0.7789115646258503,0.731629392971246,0.7545304777594728,313.0
healthy,0.7803030303030303,0.9155555555555556,0.8425357873210634,225.0
leaf_miner,0.9681818181818181,0.8129770992366412,0.8838174273858921,262.0
not_cashew_leaf,0.9506578947368421,0.9203821656050956,0.9352750809061489,314.0
red_rust,0.8945868945868946,0.9843260188087775,0.9373134328358209,319.0
accuracy,0.8729937194696441,0.8729937194696441,0.8729937194696441,0.8729937194696441
macro avg,0.874528240486887,0.8729740464354631,0.8706944412416796,1433.0
weighted avg,0.8771185877392164,0.8729937194696441,0.8722806127984756,1433.0
