,anthracnose,healthy,leaf_miner,not_cashew_leaf,red_rust
anthracnose,229,48,4,7,25
healthy,15,206,2,0,2
leaf_miner,31,5,213,8,5
not_cashew_leaf,15,4,1,289,5
red_rust,4,1,0,0,314
