epoch,accuracy,loss,val_accuracy,val_loss,learning_rate
1,0.3129434287548065,1.5049363374710083,0.41061827540397644,1.3105101585388184,0.0003000000142492354
2,0.4993288516998291,1.163999080657959,0.5618279576301575,1.0299431085586548,0.0003000000142492354
3,0.5921380519866943,0.9841820001602173,0.6418010592460632,0.8426113128662109,0.0003000000142492354
4,0.6515820026397705,0.8645028471946716,0.6626344323158264,0.8354206085205078,0.0003000000142492354
5,0.7192713618278503,0.7243239879608154,0.7204301357269287,0.7400458455085754,0.0003000000142492354
6,0.7626078724861145,0.6405866146087646,0.7715053558349609,0.6201544404029846,0.0003000000142492354
7,0.7829338312149048,0.5753666758537292,0.7439516186714172,0.6608999371528625,0.0003000000142492354
8,0.7888782620429993,0.5566016435623169,0.7956989407539368,0.5537259578704834,0.0003000000142492354
9,0.804218590259552,0.523831307888031,0.7876344323158264,0.5534240007400513,0.0003000000142492354
10,0.8172578811645508,0.48989665508270264,0.8051075339317322,0.534415602684021,0.0003000000142492354
11,0.8279961943626404,0.4575989246368408,0.8212365508079529,0.4789066016674042,0.0003000000142492354
12,0.838542640209198,0.4408843517303467,0.836693525314331,0.4636724293231964,0.0003000000142492354
13,0.8304889798164368,0.4469549059867859,0.8319892287254333,0.4782366156578064,0.0003000000142492354
14,0.8519654870033264,0.39937788248062134,0.8467742204666138,0.4398375451564789,0.0003000000142492354
15,0.84429532289505,0.40550291538238525,0.8481183052062988,0.42680349946022034,0.0003000000142492354
16,0.8592521548271179,0.3701391816139221,0.863575279712677,0.39524903893470764,0.0003000000142492354
17,0.8648130297660828,0.3747636377811432,0.8608871102333069,0.37560585141181946,0.0003000000142492354
18,0.8722914457321167,0.34449926018714905,0.8642473220825195,0.41601768136024475,0.0003000000142492354
19,0.871524453163147,0.35997897386550903,0.8662634491920471,0.38272610306739807,0.0003000000142492354
20,0.8814957141876221,0.3288912773132324,0.8817204236984253,0.3361118733882904,0.0003000000142492354
21,0.8855225443840027,0.31438496708869934,0.8810483813285828,0.3557199537754059,0.0003000000142492354
22,0.8878235816955566,0.3006220757961273,0.8494623899459839,0.4480810761451721,0.0003000000142492354
23,0.8816874623298645,0.3149327039718628,0.8870967626571655,0.35387668013572693,0.0003000000142492354
24,0.8972195386886597,0.28695914149284363,0.8763440847396851,0.36614012718200684,0.0003000000142492354
25,0.9196548461914062,0.23080511391162872,0.8837365508079529,0.3154353201389313,9.000000136438757e-05
26,0.9265580177307129,0.21224097907543182,0.8938171863555908,0.32987889647483826,9.000000136438757e-05
27,0.920997142791748,0.21250666677951813,0.8823924660682678,0.33151063323020935,9.000000136438757e-05
28,0.9267497658729553,0.21032777428627014,0.9012096524238586,0.3215717673301697,9.000000136438757e-05
29,0.9277085065841675,0.20302195847034454,0.8884408473968506,0.32894769310951233,9.000000136438757e-05
30,0.9351869821548462,0.18625125288963318,0.897849440574646,0.31621843576431274,2.700000004551839e-05
31,0.9365292191505432,0.17667420208454132,0.8971773982048035,0.3197830021381378,2.700000004551839e-05
32,0.9380632638931274,0.17739710211753845,0.8944892287254333,0.3213932514190674,2.700000004551839e-05
33,0.9382550120353699,0.17227794229984283,0.8985214829444885,0.31322652101516724,2.700000004551839e-05
34,0.940172553062439,0.17540855705738068,0.8965053558349609,0.33086833357810974,2.700000004551839e-05
35,0.9424736499786377,0.16846051812171936,0.8951612710952759,0.3311341106891632,2.700000004551839e-05
36,0.940747857093811,0.16739989817142487,0.8944892287254333,0.32947564125061035,2.700000004551839e-05
37,0.9417065978050232,0.170206680893898,0.8931451439857483,0.33996614813804626,2.700000004551839e-05
38,0.9428571462631226,0.16195039451122284,0.8998655676841736,0.32794955372810364,8.099999831756577e-06
39,0.9411313533782959,0.16448746621608734,0.8965053558349609,0.32733532786369324,8.099999831756577e-06
40,0.9443911910057068,0.15840010344982147,0.8938171863555908,0.3286242187023163,8.099999831756577e-06
41,0.945925235748291,0.1562756597995758,0.8951612710952759,0.3235029876232147,8.099999831756577e-06
42,0.9466922283172607,0.15438967943191528,0.8971773982048035,0.32501691579818726,2.429999995001708e-06
43,0.945349931716919,0.15698976814746857,0.8965053558349609,0.32535818219184875,2.429999995001708e-06
