image,gt_boxes,pred_boxes,tp,fp,fn,mean_matched_iou
anthracnose_113_jpg.rf.05ef0fdfeb2bfc6441cfe2032ea10252.jpg,12,6,4,2,8,0.7411634826943214
anthracnose_1228_jpg.rf.3c0227efa414a4159634b267097d6fce.jpg,62,61,49,12,13,0.7369015436928738
anthracnose_1292_jpg.rf.8322c60d41de92d0690999c5a8534ea7.jpg,3,6,3,3,0,0.7489091911698872
anthracnose_1580_jpg.rf.bf28930c61f6096d85d26c1d4b8ec363.jpg,6,2,2,0,4,0.717789713462222
anthracnose_811_jpg.rf.fdcebfe61ebeced4b91010023dac7685.jpg,15,1,1,0,14,0.6255340794433096
leaf_miner_1076_jpg.rf.ecc2064a234570017a96c599d6b4e9bf.jpg,17,10,7,3,10,0.7609139727519104
leaf_miner_1167_jpg.rf.11c5f8f58342cb24bf8ba7360980af98.jpg,4,2,2,0,2,0.6580797933102924
leaf_miner_1324_jpg.rf.d6d13aca4ad867c96e15e74fc74bd2be.jpg,6,5,4,1,2,0.8152853075836831
leaf_miner_133_jpg.rf.220b17c59304502f7dca6f7ffa10e065.jpg,19,8,6,2,13,0.7315464391416556
leaf_miner_353_jpg.rf.347f2eee9ef1729dc91fcc077d975c1b.jpg,12,5,4,1,8,0.7838410146903309
leaf_miner_483_jpg.rf.fc3622ce2bfe762f2a326e196b1daeff.jpg,9,1,0,1,9,
leaf_miner_509_jpg.rf.ae8b28ba24bc4e6e3b7b83ad9401a522.jpg,7,6,4,2,3,0.7815555340219908
leaf_miner_57_jpg.rf.eda7e6ad939442d79f9415a862b27db6.jpg,2,4,2,2,0,0.7799176498813623
leaf_miner_877_jpg.rf.9c0e377e226dc300c2e97dd6d673d169.jpg,14,11,8,3,6,0.8034610832143605
leaf_miner_938_jpg.rf.69401a93c50a7762b3c455382ff2e772.jpg,1,1,1,0,0,0.9452438967617187
red_rust_1124_jpg.rf.5477b2411c85a5a12e0aac6569193677.jpg,102,114,84,30,18,0.7689625900436535
red_rust_199_jpg.rf.4b26da2c239a0241cbd07abf7b01d416.jpg,63,79,44,35,19,0.7787167912358594
red_rust_330_jpg.rf.0fe64d821da873a2db8ae87d0bb57caa.jpg,26,31,18,13,8,0.715873942547609
red_rust_350_jpg.rf.f345e22a25cca7d5852e5ece5b3e6b51.jpg,48,56,33,23,15,0.7785483242232535
red_rust_593_jpg.rf.2e61f60656723cb007ecf3480bb554cb.jpg,56,138,45,93,11,0.7647358207765309
red_rust_80_jpg.rf.ac3277971096621a056973e75e712106.jpg,47,56,36,20,11,0.7679237007281365
